Unnamed: 0,artist,album_name,rating,album_link,genre
,['Ebo Taylor'],['Love and Death'],['7.7'],['https://pitchfork.com/reviews/albums/15093-love-and-death/'],['global']
,['Roedelius'],['Selbstportrait / Selbstportrait II'],['7.9'],['https://pitchfork.com/reviews/albums/15080-selbstportrait-selbstportrait-ii/'],['global']
,['Amadou & Mariam'],['Remixes'],['6.8'],['https://pitchfork.com/reviews/albums/15017-remixes/'],['global']
,['Scientist'],['Scientist Launches Dubstep Into Outer Space'],['7.7'],['https://pitchfork.com/reviews/albums/14963-scientist-launches-dubstep-into-outer-space/'],['global']
,['M.I.A.'],['Vicki Leekx'],['7.8'],['https://pitchfork.com/reviews/albums/14970-vicki-leekx/'],['global']
,['Tabu Ley Rochereau'],"['The Voice of Lightness, Vol. 2']",['8.0'],['https://pitchfork.com/reviews/albums/14907-the-voice-of-lightness-vol-2/'],['global']
,['The Budos Band'],['The Budos Band III'],['7.6'],['https://pitchfork.com/reviews/albums/14535-the-budos-band-iii/'],['global']
,['Major Lazer'],['Lazers Never Die EP'],['7.8'],['https://pitchfork.com/reviews/albums/14462-lazers-never-die-ep/'],['global']
,['M.I.A.'],['/ \\ / \\ / \\ Y / \\'],['4.4'],['https://pitchfork.com/reviews/albums/14434-y/'],['global']
,['Rachid Taha'],['Bonjour'],['7.5'],['https://pitchfork.com/reviews/albums/14400-bonjour/'],['global']
,['Omar Souleyman'],['Jazeera Nights: Folk and Pop Sounds of Syria'],['7.8'],['https://pitchfork.com/reviews/albums/14390-jazeera-nights-folk-and-pop-sounds-of-syria/'],['global']
,['Major Lazer'],['Lazerproof'],['7.2'],['https://pitchfork.com/reviews/albums/14336-lazerproof/'],['global']
,['Konono N°1'],['Assume Crash Position'],['5.7'],['https://pitchfork.com/reviews/albums/14314-assume-crash-position/'],['global']
,['Damian Marley'],['Distant Relatives'],['6.1'],['https://pitchfork.com/reviews/albums/14265-distant-relatives/'],['global']
,['Janka Nabay'],['Bubu King'],['7.1'],['https://pitchfork.com/reviews/albums/14104-bubu-king/'],['global']
,['Mulatu Astatke'],['Mulatu Steps Ahead'],['8.3'],['https://pitchfork.com/reviews/albums/14023-mulatu-steps-ahead/'],['global']
,['Gigi'],['Maintenant'],['7.2'],['https://pitchfork.com/reviews/albums/13970-maintenant/'],['global']
,['Ali Farka Touré'],['Ali and Toumani'],['8.3'],['https://pitchfork.com/reviews/albums/13883-ali-and-toumani/'],['global']
,['Robin Guthrie'],['Carousel'],['6.5'],['https://pitchfork.com/reviews/albums/13536-carousel/'],['global']
,['Fela Kuti'],['Fela: The Best of the Black President'],['8.1'],['https://pitchfork.com/reviews/albums/13660-fela-the-best-of-the-black-president/'],['global']
,['Mulatu Astatke'],['New York-Addis-London: The Story of Ethio Jazz 1965-1975'],['9.0'],['https://pitchfork.com/reviews/albums/13678-new-york-addis-london-the-story-of-ethio-jazz-1965-1975/'],['global']
,['Luciano'],['Tribute to the Sun'],['8.3'],['https://pitchfork.com/reviews/albums/13585-tribute-to-the-sun/'],['global']
,['Jahdan Blakkamoore'],['Buzzrock Warrior'],['6.8'],['https://pitchfork.com/reviews/albums/13665-buzzrock-warrior/'],['global']
,['Tinariwen'],['Imidiwan: Companions'],['7.6'],['https://pitchfork.com/reviews/albums/13549-imidiwan-companions/'],['global']
,['Os Mutantes'],['Haih or Amortecedor'],['7.0'],['https://pitchfork.com/reviews/albums/13391-haih-or-amortecedor/'],['global']
,['Arve Henriksen'],['Cartography'],['8.1'],['https://pitchfork.com/reviews/albums/13379-cartography/'],['global']
,['Amadou & Mariam'],['The Magic Couple'],['8.0'],['https://pitchfork.com/reviews/albums/13343-the-magic-couple/'],['global']
,['Omar Souleyman'],['Dabke 2020: Folk and Pop Sounds of Syria'],['7.4'],['https://pitchfork.com/reviews/albums/13114-dabke-2020-folk-and-pop-sounds-of-syria/'],['global']
